"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label","correlation","pred_prob"
"1","ENSP00000256078","ENSP00000311697","9606.ENSP00000311697","9606.ENSP00000256078",912,"FGF5","2250","KRAS","3845",0.321,0,0.164003218993914,0.119781018559907
"3","ENSP00000385216","ENSP00000291527","9606.ENSP00000291527","9606.ENSP00000385216",917,"TFF1","7031","NCOA1","8648",0.118,0,0.0408564917847707,0.127742864827877
"4","ENSP00000361930","ENSP00000221138","9606.ENSP00000221138","9606.ENSP00000361930",933,"PPP2CB","5516","YWHAB","7529",0.242,0,0.129704635177242,0.213151967402944
"7","ENSP00000477715","ENSP00000425561","9606.ENSP00000425561","9606.ENSP00000477715",988,"EIF4E","1977","CPEB1","64506",0.297,0,0.121834935178215,0.636826867939026
"12","ENSP00000366098","ENSP00000387286","9606.ENSP00000387286","9606.ENSP00000366098",921,"RAB1A","5861","YIF1A","10897",1,1,-0.235811426801921,0.11894011830272
"14","ENSP00000481038","ENSP00000215832","9606.ENSP00000215832","9606.ENSP00000481038",907,"MAPK1","5594","CYFIP1","23191",0.327,0,0.404831998427438,0.12181670126131
"15","ENSP00000428056","ENSP00000414303","9606.ENSP00000414303","9606.ENSP00000428056",917,"BDNF","627","PIK3R1","5295",0.386,0,-0.00479373612372409,0.123793310803177
"21","ENSP00000225577","ENSP00000313007","9606.ENSP00000313007","9606.ENSP00000225577",928,"PABPC1","26986","RPS6KB1","6198",0.264,0,0.0147247590056275,0.172664383266961
"22","ENSP00000233057","ENSP00000311857","9606.ENSP00000311857","9606.ENSP00000233057",911,"PTPN2","5771","EIF2AK2","5610",0.375,0,0.146423320513689,0.114821601357058
"27","ENSP00000417963","ENSP00000313995","9606.ENSP00000313995","9606.ENSP00000417963",918,"KLHDC3","116138","PPP2R5D","5528",0.198,0,0.571266587070576,0.187003971844768
"33","ENSP00000258302","ENSP00000297313","9606.ENSP00000297313","9606.ENSP00000258302",910,"RGS20","8601","RGS8","85397",0.678,1,0.0431672832038079,0.10361059975104
"43","ENSP00000221700","ENSP00000311095","9606.ENSP00000311095","9606.ENSP00000221700",926,"CYP4A11","1579","CYP4F2","8529",0.775,1,0.694621224221302,0.249746355279434
"50","ENSP00000263025","ENSP00000415151","9606.ENSP00000415151","9606.ENSP00000263025",902,"CBFB","865","MAPK3","5595",0.217,0,0.1850946602445,0.0895936804564053
"53","ENSP00000264389","ENSP00000244007","9606.ENSP00000244007","9606.ENSP00000264389",977,"PLCG1","5335","COPS4","51138",0.098,0,-0.00724382914693524,0.52130541276705
"54","ENSP00000220849","ENSP00000447001","9606.ENSP00000447001","9606.ENSP00000220849",907,"RPL18","6141","EIF3E","3646",0.632,1,0.462536203000055,0.126758508616503
"57","ENSP00000231487","ENSP00000281623","9606.ENSP00000281623","9606.ENSP00000231487",996,"FBXO4","26272","SKP1","6500",0.715,1,0.0341779242201859,0.682480861600383
"60","ENSP00000322439","ENSP00000317159","9606.ENSP00000317159","9606.ENSP00000322439",923,"CYC1","1537","TUFM","7284",0.133,0,0.448326524242578,0.198452710713149
"62","ENSP00000401980","ENSP00000374552","9606.ENSP00000374552","9606.ENSP00000401980",912,"RNF216","54476","MAVS","57506",0.372,0,0.509448900946119,0.151528609147301
"65","ENSP00000313581","ENSP00000314151","9606.ENSP00000314151","9606.ENSP00000313581",913,"KLK3","354","KLK2","3817",0.698,1,0.831157168734093,0.192254294965935
"66","ENSP00000272418","ENSP00000449884","9606.ENSP00000449884","9606.ENSP00000272418",992,"MRPL42","28977","MRPS5","64969",1,1,0.0919732693565057,0.66248730693468
"73","ENSP00000262904","ENSP00000302967","9606.ENSP00000302967","9606.ENSP00000262904",938,"HDAC3","8841","E2F3","1871",0.383,0,-0.151286990165577,0.20476039726999
"82","ENSP00000264563","ENSP00000296870","9606.ENSP00000296870","9606.ENSP00000264563",961,"IL3","3562","IL11","3589",0.616,1,-0.0870008482890334,0.372242666531403
"85","ENSP00000304802","ENSP00000416658","9606.ENSP00000416658","9606.ENSP00000304802",943,"NME6","10201","DTYMK","1841",0.043,0,0.616387678929263,0.358393620627695
"92","ENSP00000263270","ENSP00000309415","9606.ENSP00000309415","9606.ENSP00000263270",919,"CLTB","1212","AP2S1","1175",1,1,0.576619803157972,0.192894046492176
"97","ENSP00000300403","ENSP00000343701","9606.ENSP00000343701","9606.ENSP00000300403",944,"KPNA1","3836","TPX2","22974",0.152,0,-0.160512978269997,0.238731939837301
"102","ENSP00000264709","ENSP00000269397","9606.ENSP00000269397","9606.ENSP00000264709",988,"CBX4","8535","DNMT3A","1788",0.678,1,0.256260700981085,0.660921314734796
"107","ENSP00000253107","ENSP00000364320","9606.ENSP00000364320","9606.ENSP00000253107",971,"MRTO4","51154","PPAN","56342",0.845,1,0.541446170189219,0.57752905476882
"110","ENSP00000256196","ENSP00000251849","9606.ENSP00000251849","9606.ENSP00000256196",993,"RAF1","5894","RRAS2","22800",0.348,0,0.169219681343644,0.683359946778058
"113","ENSP00000317376","ENSP00000223324","9606.ENSP00000223324","9606.ENSP00000317376",969,"MRPL32","64983","MRPS11","64963",1,1,0.265376759499822,0.506811956228549
"114","ENSP00000364119","ENSP00000272317","9606.ENSP00000272317","9606.ENSP00000364119",959,"RPS27A","6233","EIF2S2","8894",0.68,1,0.617430753373607,0.490899769330912
"118","ENSP00000238682","ENSP00000339191","9606.ENSP00000339191","9606.ENSP00000238682",920,"CAV1","857","TGFB3","7043",0.383,0,0.450606658181455,0.182961821948535
"125","ENSP00000483552","ENSP00000263388","9606.ENSP00000263388","9606.ENSP00000483552",939,"NOTCH3","4854","FURIN","5045",0.175,0,0.134194047839078,0.250100215680724
"131","ENSP00000315017","ENSP00000259469","9606.ENSP00000259469","9606.ENSP00000315017",928,"RPL35","11224","MRPL1","65008",0.921,1,0.30420461129289,0.207664905254825
"133","ENSP00000222390","ENSP00000011619","9606.ENSP00000011619","9606.ENSP00000222390",906,"RANBP9","10048","HGF","3082",0.229,0,0.0508307872919162,0.092123028260604
"136","ENSP00000363574","ENSP00000452909","9606.ENSP00000452909","9606.ENSP00000363574",971,"RPL28","6158","EIF6","3692",0.241,0,0.678839263495744,0.603664527013182
"140","ENSP00000274181","ENSP00000362304","9606.ENSP00000362304","9606.ENSP00000274181",920,"ADAMTS14","140766","ADAMTS16","170690",0.959,1,0.119746391958356,0.147194821737656
"142","ENSP00000323720","ENSP00000263390","9606.ENSP00000263390","9606.ENSP00000323720",994,"MED26","9441","MED14","9282",0.906,1,-0.00546584412859936,0.660575440364556
"144","ENSP00000259469","ENSP00000341885","9606.ENSP00000341885","9606.ENSP00000259469",999,"RPS2","6187","RPL35","11224",0.745,1,0.776256762209953,0.810209847432864
"146","ENSP00000311224","ENSP00000367086","9606.ENSP00000367086","9606.ENSP00000311224",939,"ACOT7","11332","ACOT1","641371",0.704,1,-0.0940803611038854,0.217939401950762
"147","ENSP00000215570","ENSP00000261070","9606.ENSP00000261070","9606.ENSP00000215570",982,"COX17","10063","TIMM13","26517",0.129,0,0.517985501414986,0.661266709856894
"149","ENSP00000185150","ENSP00000318147","9606.ENSP00000318147","9606.ENSP00000185150",901,"EDEM3","80267","ERLEC1","27248",0.708,1,0.402848756730535,0.101440768381063
"150","ENSP00000368104","ENSP00000360242","9606.ENSP00000360242","9606.ENSP00000368104",942,"XIAP","331","BMP2","650",0.341,0,0.00683901968356904,0.25047348945019
"157","ENSP00000357674","ENSP00000447537","9606.ENSP00000447537","9606.ENSP00000357674",998,"BLOC1S1","2647","SNAPIN","23557",0.746,1,0.326084305209322,0.743272521312009
"159","ENSP00000260210","ENSP00000365625","9606.ENSP00000365625","9606.ENSP00000260210",998,"DHX16","8449","BUD13","84811",0.687,1,0.378115786057634,0.751007538471767
"176","ENSP00000330898","ENSP00000301788","9606.ENSP00000301788","9606.ENSP00000330898",972,"POLR2G","5436","POLR2J2","246721",1,1,0.0763213521842135,0.49517128704162
"182","ENSP00000307046","ENSP00000243077","9606.ENSP00000243077","9606.ENSP00000307046",908,"LRP1","4035","SDC2","6383",0.162,0,0.352046248680815,0.121019924219923
"184","ENSP00000341268","ENSP00000345083","9606.ENSP00000345083","9606.ENSP00000341268",937,"MAP2K3","5606","TRADD","8717",0.601,1,0.115333340298853,0.234861711072139
"187","ENSP00000370258","ENSP00000419449","9606.ENSP00000419449","9606.ENSP00000370258",928,"EIF1","10209","EIF3CL","728689",1,1,0.28697633649747,0.205442984317304
"188","ENSP00000246071","ENSP00000257181","9606.ENSP00000257181","9606.ENSP00000246071",984,"PRPF38A","84950","SNRPB2","6629",1,1,0.324526690153841,0.642181297154903
"202","ENSP00000259241","ENSP00000307046","9606.ENSP00000307046","9606.ENSP00000259241",959,"SDC2","6383","HS6ST1","9394",0.371,0,0.209484604653926,0.411581259797527
"210","ENSP00000341885","ENSP00000379506","9606.ENSP00000379506","9606.ENSP00000341885",999,"RPL14","9045","RPS2","6187",0.649,1,0.768828780381142,0.80930937941239
"219","ENSP00000261769","ENSP00000295797","9606.ENSP00000295797","9606.ENSP00000261769",932,"PRKCI","5584","CDH1","999",0.392,0,0.198989741732524,0.216602447360257
"226","ENSP00000386896","ENSP00000400365","9606.ENSP00000400365","9606.ENSP00000386896",952,"LAMA2","3908","ITGA6","3655",0.357,0,-0.140916292092888,0.294908133309126
"228","ENSP00000012443","ENSP00000444810","9606.ENSP00000444810","9606.ENSP00000012443",933,"FKBP5","2289","PPP5C","5536",0.218,0,-0.0113202890993999,0.19513117036623
"231","ENSP00000283195","ENSP00000429986","9606.ENSP00000429986","9606.ENSP00000283195",918,"ENY2","56943","RANBP2","5903",0.257,0,-0.448076545820092,0.0934894600280859
"233","ENSP00000262102","ENSP00000360973","9606.ENSP00000360973","9606.ENSP00000262102",906,"AGTR2","186","MTUS1","57509",0.235,0,-0.099956357260568,0.0826674799680324
"244","ENSP00000262948","ENSP00000391676","9606.ENSP00000391676","9606.ENSP00000262948",922,"JAK3","3718","MAP2K2","5605",0.355,0,0.22169285304956,0.166809604597354
"245","ENSP00000353099","ENSP00000263967","9606.ENSP00000263967","9606.ENSP00000353099",905,"PIK3CA","5290","HLA-DRB1","3123",0.363,0,-0.0390057381439716,0.0837272693021276
"249","ENSP00000261015","ENSP00000338573","9606.ENSP00000338573","9606.ENSP00000261015",957,"GNL3L","54552","WDR12","55759",0.197,0,0.334324674744267,0.418890194175808
"252","ENSP00000361824","ENSP00000267257","9606.ENSP00000267257","9606.ENSP00000361824",919,"PXN","5829","SPTAN1","6709",0.331,0,0.196982529954075,0.15057938705648
"253","ENSP00000430432","ENSP00000263360","9606.ENSP00000263360","9606.ENSP00000430432",993,"EED","8726","HDAC2","3066",0.359,0,0.373950835277841,0.717149604101426
"254","ENSP00000378529","ENSP00000287598","9606.ENSP00000287598","9606.ENSP00000378529",974,"BUB1B","701","FZR1","51343",0.173,0,0.0905430735120105,0.514999447291376
"260","ENSP00000412237","ENSP00000218388","9606.ENSP00000218388","9606.ENSP00000412237",964,"TIMP1","7076","IL10","3586",0.334,0,0.312736410099038,0.473567002748392
"267","ENSP00000356230","ENSP00000331682","9606.ENSP00000331682","9606.ENSP00000356230",917,"KLHL22","84861","KLHL12","59349",0.352,0,0.113896551995922,0.134285499852798
"273","ENSP00000354532","ENSP00000329466","9606.ENSP00000329466","9606.ENSP00000354532",939,"SIRT7","51547","PNP","4860",0.311,0,-0.187396385354577,0.205682604864002
"274","ENSP00000308541","ENSP00000265563","9606.ENSP00000265563","9606.ENSP00000308541",902,"PRKAR2A","5576","F2","2147",0.254,0,-0.0251656395433341,0.0769826775897006
"288","ENSP00000325527","ENSP00000483552","9606.ENSP00000483552","9606.ENSP00000325527",945,"FURIN","5045","FBN1","2200",0.225,0,0.26627178832377,0.312228327416951
"289","ENSP00000361107","ENSP00000221496","9606.ENSP00000221496","9606.ENSP00000361107",914,"AMH","268","BMPR1A","657",0.369,0,0.232158944058565,0.133225965081011
"295","ENSP00000357256","ENSP00000484532","9606.ENSP00000484532","9606.ENSP00000357256",994,"MIS12","79003","PMF1","11243",0.654,1,-0.0883526530314599,0.645801119359154
"299","ENSP00000242057","ENSP00000335153","9606.ENSP00000335153","9606.ENSP00000242057",999,"HSP90AA1","3320","AHR","196",0.334,0,0.0661720231971255,0.709422965167031
"300","ENSP00000361930","ENSP00000311344","9606.ENSP00000311344","9606.ENSP00000361930",911,"PPP2R1B","5519","YWHAB","7529",0.249,0,-0.139052705073365,0.0938879542866809
"302","ENSP00000257555","ENSP00000365682","9606.ENSP00000365682","9606.ENSP00000257555",919,"TLE1","7088","HNF1A","6927",0.318,0,0.299636873252425,0.161206056841499
"305","ENSP00000262138","ENSP00000337168","9606.ENSP00000337168","9606.ENSP00000262138",907,"EPB41L1","2036","CACNG4","27092",0.15,0,0.0729870343276212,0.0965221959984024
"306","ENSP00000314897","ENSP00000293328","9606.ENSP00000293328","9606.ENSP00000314897",905,"STAT5B","6777","ANGPT2","285",0.346,0,0.0105114055644348,0.0867655863274
"307","ENSP00000359910","ENSP00000427562","9606.ENSP00000427562","9606.ENSP00000359910",957,"ABL2","27","PSMA7","5688",0.37,0,-0.275753547383934,0.308439846931581
"308","ENSP00000328004","ENSP00000336687","9606.ENSP00000336687","9606.ENSP00000328004",902,"CBX3","11335","YAF2","10138",0.624,1,-0.111758488329091,0.0722781167300758
"313","ENSP00000335620","ENSP00000420168","9606.ENSP00000420168","9606.ENSP00000335620",963,"GSTA2","2939","GSTA1","2938",0.768,1,0.777879134962537,0.556294546760491
"314","ENSP00000412566","ENSP00000274712","9606.ENSP00000274712","9606.ENSP00000412566",996,"ZMAT2","153527","SNRPB","6628",1,1,0.197854059762504,0.709714735477619
"317","ENSP00000414350","ENSP00000423313","9606.ENSP00000423313","9606.ENSP00000414350",910,"GALNTL6","442117","MUC20","200958",0.043,0,-0.144371848820884,0.090683604248944
"345","ENSP00000363827","ENSP00000230053","9606.ENSP00000230053","9606.ENSP00000363827",905,"B3GAT2","135152","HSPG2","3339",0.214,0,0.135793610759868,0.0949024267903621
"346","ENSP00000341805","ENSP00000262188","9606.ENSP00000262188","9606.ENSP00000341805",956,"SMARCD3","6604","PHF10","55274",0.891,1,0.0408556202074562,0.356097660236392
"350","ENSP00000351926","ENSP00000451300","9606.ENSP00000451300","9606.ENSP00000351926",966,"NUMB","8650","AP2A1","160",0.148,0,-0.0919728458288196,0.411886729684078
"351","ENSP00000378578","ENSP00000362361","9606.ENSP00000362361","9606.ENSP00000378578",992,"CDK9","1025","AFF1","4299",0.388,0,-0.0116058948893893,0.644027541846508
"353","ENSP00000417142","ENSP00000419087","9606.ENSP00000419087","9606.ENSP00000417142",997,"NDUFB2","4708","NDUFA5","4698",0.966,1,0.296338060977669,0.732152182243941
"354","ENSP00000397441","ENSP00000258654","9606.ENSP00000258654","9606.ENSP00000397441",999,"COG3","83548","COG6","57511",0.76,1,0.618275829965491,0.790352820652253
"356","ENSP00000223061","ENSP00000363840","9606.ENSP00000363840","9606.ENSP00000223061",921,"COL11A2","1302","PCOLCE","5118",0.089,0,0.00676589752081084,0.140443334341141
"359","ENSP00000315477","ENSP00000225698","9606.ENSP00000225698","9606.ENSP00000315477",964,"C1QBP","708","CD209","30835",0.3,0,0.11996528988184,0.435971195215013
"361","ENSP00000274242","ENSP00000323856","9606.ENSP00000323856","9606.ENSP00000274242",926,"PLEC","5339","RPL37","6167",0.078,0,-0.0487618958146768,0.156439760564553
"362","ENSP00000433001","ENSP00000380876","9606.ENSP00000380876","9606.ENSP00000433001",915,"RGS11","8786","RGS5","8490",1,1,0.22096883131181,0.136170491315521
"363","ENSP00000259407","ENSP00000431049","9606.ENSP00000431049","9606.ENSP00000259407",911,"GSTK1","373156","BAAT","570",0.311,0,0.3870606604827,0.135515958110774
"364","ENSP00000236959","ENSP00000318868","9606.ENSP00000318868","9606.ENSP00000236959",996,"SHMT1","6470","ATIC","471",0.384,0,-0.533275249545695,0.578994524802643
"369","ENSP00000227524","ENSP00000341826","9606.ENSP00000341826","9606.ENSP00000227524",921,"HNRNPA1","3178","PRPF19","27339",0.384,0,0.339777178925319,0.175150669970811
"371","ENSP00000363832","ENSP00000306606","9606.ENSP00000306606","9606.ENSP00000363832",939,"ADH1B","125","AOX1","316",0.27,0,0.694451191697376,0.341370788024466
"377","ENSP00000361540","ENSP00000365210","9606.ENSP00000365210","9606.ENSP00000361540",966,"CCNB3","85417","CDC20","991",0.299,0,-0.0349971462470161,0.422788922405685
"382","ENSP00000370639","ENSP00000308032","9606.ENSP00000308032","9606.ENSP00000370639",908,"CYP2S1","29785","ASMT","438",0.269,0,0.0575748939072831,0.0984526288054432
"388","ENSP00000384794","ENSP00000310696","9606.ENSP00000310696","9606.ENSP00000384794",921,"B4GALT2","8704","A4GALT","53947",0.121,0,-0.0321734437740971,0.136784766417887
"389","ENSP00000274376","ENSP00000378974","9606.ENSP00000378974","9606.ENSP00000274376",915,"MAPK8","5599","RASA1","5921",0.38,0,0.78963732388269,0.197822122077067
"390","ENSP00000365745","ENSP00000329002","9606.ENSP00000329002","9606.ENSP00000365745",953,"HAX1","10456","CTTN","2017",0.366,0,0.0358818192484391,0.332152509100434
"394","ENSP00000314080","ENSP00000320485","9606.ENSP00000320485","9606.ENSP00000314080",926,"ARID1A","8289","HIC1","3090",0.381,0,-0.0672045051464659,0.15453404866127
"399","ENSP00000256785","ENSP00000245907","9606.ENSP00000245907","9606.ENSP00000256785",994,"C3","718","CFHR5","81494",0.239,0,0.489290965856592,0.741772470707935
"408","ENSP00000358327","ENSP00000263464","9606.ENSP00000263464","9606.ENSP00000358327",986,"BIRC3","330","CASP7","840",0.299,0,0.28906470567835,0.6513724822234
"410","ENSP00000269305","ENSP00000409666","9606.ENSP00000409666","9606.ENSP00000269305",919,"SUMO3","6612","TP53","7157",0.135,0,0.056025011108329,0.136934418460996
"414","ENSP00000343658","ENSP00000376505","9606.ENSP00000376505","9606.ENSP00000343658",901,"TANK","10010","MAP4K4","9448",0.389,0,0.0490487056394782,0.0787295208562968
"417","ENSP00000405338","ENSP00000317272","9606.ENSP00000317272","9606.ENSP00000405338",952,"MET","4233","INPP5D","3635",0.387,0,-0.267667272893354,0.274599730054452
"418","ENSP00000432083","ENSP00000377148","9606.ENSP00000377148","9606.ENSP00000432083",916,"AP1G1","164","HSPA8","3312",0.265,0,0.125003262631715,0.131368045747789
"427","ENSP00000216037","ENSP00000354791","9606.ENSP00000354791","9606.ENSP00000216037",901,"DCTN1","1639","XBP1","7494",0.217,0,-0.314029497348803,0.0603438648521454
"428","ENSP00000342374","ENSP00000267812","9606.ENSP00000267812","9606.ENSP00000342374",999,"MFAP1","4236","SNRPD2","6633",1,1,0.108616685335773,0.716259901022188
"429","ENSP00000364855","ENSP00000359454","9606.ENSP00000359454","9606.ENSP00000364855",925,"HFM1","164045","MSH5","4439",0.743,1,0.146872199103856,0.172919099755593
"435","ENSP00000298316","ENSP00000378338","9606.ENSP00000378338","9606.ENSP00000298316",986,"GIT1","28964","ARF6","382",0.335,0,-0.228937370304493,0.554147621964731
"439","ENSP00000258383","ENSP00000333837","9606.ENSP00000333837","9606.ENSP00000258383",993,"MRPL12","6182","MRPL44","65080",0.777,1,0.0634776464692911,0.66508629293254
"454","ENSP00000362994","ENSP00000379612","9606.ENSP00000379612","9606.ENSP00000362994",947,"TAX1BP1","8887","TRAF1","7185",0.398,0,0.107725171214287,0.300199401158865
"465","ENSP00000258455","ENSP00000342676","9606.ENSP00000342676","9606.ENSP00000258455",972,"AURKAIP1","54998","MRPS9","64965",1,1,0.459027337163258,0.56999961507739
"467","ENSP00000420161","ENSP00000387356","9606.ENSP00000387356","9606.ENSP00000420161",903,"ACAN","176","B4GALT4","8702",0.224,0,0.196222066905989,0.0931488283167666
"472","ENSP00000380227","ENSP00000267082","9606.ENSP00000267082","9606.ENSP00000380227",999,"ITGB7","3695","ITGA4","3676",0.785,1,0.374023324988876,0.756731439089623
"483","ENSP00000345195","ENSP00000473001","9606.ENSP00000473001","9606.ENSP00000345195",904,"FCHO1","23149","UBQLN2","29978",0.214,0,0.0472320824362727,0.0863565654086257
"487","ENSP00000311344","ENSP00000261461","9606.ENSP00000261461","9606.ENSP00000311344",999,"PPP2R5A","5525","PPP2R1B","5519",0.084,0,0.266617781464344,0.740836560755755
"491","ENSP00000264033","ENSP00000302978","9606.ENSP00000302978","9606.ENSP00000264033",929,"SPRY3","10251","CBL","867",0.34,0,0.26801543424485,0.208586398610779
