"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label","correlation","pred_prob"
"717","ENSP00000221700","ENSP00000228740","9606.ENSP00000228740","9606.ENSP00000221700",909,"LTA4H","4048","CYP4F2","8529",0.283,0,-0.104029812317811,0.0904922116124355
"720","ENSP00000295119","ENSP00000256442","9606.ENSP00000256442","9606.ENSP00000295119",917,"CCNB1","891","NUP35","129401",0.138,0,0.213548622305448,0.143666253133361
"721","ENSP00000457513","ENSP00000339720","9606.ENSP00000339720","9606.ENSP00000457513",988,"NDUFA4","4697","COX4I1","1327",0.914,1,0.635447687506211,0.724281240310745
"725","ENSP00000346001","ENSP00000272317","9606.ENSP00000272317","9606.ENSP00000346001",998,"RPS27A","6233","RPL3","6122",0.683,1,0.60407443089475,0.782757382851817
"728","ENSP00000481878","ENSP00000383118","9606.ENSP00000383118","9606.ENSP00000481878",950,"CDC42","998","GNB1","2782",0.302,0,0.645953659064445,0.420532514640937
"731","ENSP00000385675","ENSP00000229135","9606.ENSP00000229135","9606.ENSP00000385675",943,"IFNG","3458","IL6","3569",0.607,1,0.216253437646965,0.289621491338456
"732","ENSP00000361850","ENSP00000441691","9606.ENSP00000441691","9606.ENSP00000361850",927,"ITGAM","3684","PLAU","5328",0.329,0,0.5709162846146,0.238078418879143
"733","ENSP00000417602","ENSP00000223324","9606.ENSP00000223324","9606.ENSP00000417602",999,"MRPL32","64983","MRPL47","57129",1,1,0.14223174401368,0.721605076322191
"734","ENSP00000342889","ENSP00000259895","9606.ENSP00000259895","9606.ENSP00000342889",971,"GTF2H4","2968","POLR2K","5440",0.714,1,0.115084075818292,0.494279871575409
"735","ENSP00000325655","ENSP00000361993","9606.ENSP00000361993","9606.ENSP00000325655",936,"TIMM8A","1678","CHCHD5","84269",0.06,0,0.397826229160001,0.270354294426816
"736","ENSP00000363944","ENSP00000351446","9606.ENSP00000351446","9606.ENSP00000363944",943,"WDR5","11091","LAS1L","81887",0.179,0,0.186466223793285,0.284822681159903
"737","ENSP00000354394","ENSP00000358022","9606.ENSP00000358022","9606.ENSP00000354394",949,"MCL1","4170","STAT1","6772",0.398,0,0.125490305128804,0.317728847725183
"738","ENSP00000262367","ENSP00000303424","9606.ENSP00000303424","9606.ENSP00000262367",901,"PTGDR","5729","CREBBP","1387",0.313,0,0.0869256936467421,0.0809187678814859
"745","ENSP00000314444","ENSP00000404122","9606.ENSP00000404122","9606.ENSP00000314444",913,"IFT74","80173","WDR35","57539",0.848,1,0.44614517258418,0.149515253964997
"760","ENSP00000311665","ENSP00000217958","9606.ENSP00000217958","9606.ENSP00000311665",996,"PSMD10","5716","PAAF1","80227",0.634,1,-0.0400540086705845,0.669689405968403
"762","ENSP00000275493","ENSP00000263980","9606.ENSP00000263980","9606.ENSP00000275493",981,"SLC9A1","6548","EGFR","1956",0.293,0,0.00485833158091027,0.557513372219512
"768","ENSP00000221494","ENSP00000364813","9606.ENSP00000364813","9606.ENSP00000221494",993,"LSM2","57819","SF3A2","8175",0.813,1,0.497636787453852,0.736469604749955
"771","ENSP00000215727","ENSP00000356771","9606.ENSP00000356771","9606.ENSP00000215727",937,"F5","2153","SERPIND1","3053",0.046,0,0.727844841195076,0.332022335960043
"778","ENSP00000379011","ENSP00000341044","9606.ENSP00000341044","9606.ENSP00000379011",920,"ACACB","32","CPT1B","1375",0.271,0,-0.134791045562518,0.123783545412145
"782","ENSP00000265728","ENSP00000405726","9606.ENSP00000405726","9606.ENSP00000265728",995,"CDC45","8318","DBF4","10926",0.317,0,0.65122634501203,0.77148300136019
"790","ENSP00000316054","ENSP00000378557","9606.ENSP00000378557","9606.ENSP00000316054",981,"DAAM1","23002","DVL3","1857",1,1,0.0481760623635933,0.565905418049766
"792","ENSP00000366396","ENSP00000350698","9606.ENSP00000350698","9606.ENSP00000366396",924,"DDX47","51202","XRN2","22803",0.609,1,0.237309630505062,0.178289421807522
"795","ENSP00000428085","ENSP00000346080","9606.ENSP00000346080","9606.ENSP00000428085",978,"RPL22L1","200916","RPL30","6156",1,1,0.589648439191912,0.643149208488146
"798","ENSP00000440485","ENSP00000216802","9606.ENSP00000216802","9606.ENSP00000440485",906,"PSME2","5721","PSMD9","5715",0.217,0,0.339154547979077,0.112936421017116
"799","ENSP00000337825","ENSP00000262494","9606.ENSP00000262494","9606.ENSP00000337825",914,"GNAO1","2775","LCK","3932",0.258,0,0.164690259403134,0.127213391792992
"805","ENSP00000341885","ENSP00000256383","9606.ENSP00000256383","9606.ENSP00000341885",988,"EIF2S1","1965","RPS2","6187",0.341,0,-0.063076285748019,0.602550812198195
"808","ENSP00000276689","ENSP00000327268","9606.ENSP00000327268","9606.ENSP00000276689",999,"NDUFV2","4729","NDUFB9","4715",0.639,1,0.427138969697643,0.764343309204721
"810","ENSP00000352069","ENSP00000467579","9606.ENSP00000467579","9606.ENSP00000352069",910,"WBP2","23558","WWP2","11060",0.296,0,0.112511918617502,0.108789531536388
"811","ENSP00000261015","ENSP00000480832","9606.ENSP00000480832","9606.ENSP00000261015",951,"NOP16","51491","WDR12","55759",1,1,0.320322846476122,0.367543803819148
"812","ENSP00000464813","ENSP00000435777","9606.ENSP00000435777","9606.ENSP00000464813",999,"RPS13","6207","RPL27","6155",0.741,1,0.762251650339105,0.808509334286383
"818","ENSP00000445122","ENSP00000451406","9606.ENSP00000451406","9606.ENSP00000445122",957,"HSD17B6","8630","HSD3B2","3284",0.694,1,0.325897530576065,0.417276790711739
"820","ENSP00000311083","ENSP00000384849","9606.ENSP00000384849","9606.ENSP00000311083",919,"CDKN1A","1026","CKS1B","1163",0.803,1,-0.143644160548753,0.119400936784028
"823","ENSP00000319814","ENSP00000477707","9606.ENSP00000477707","9606.ENSP00000319814",943,"NR1H3","10062","PCK1","5105",0.319,0,0.172994707184339,0.282668161454047
"829","ENSP00000315017","ENSP00000253099","9606.ENSP00000253099","9606.ENSP00000315017",999,"MRPL4","51073","MRPL1","65008",1,1,0.245996274047808,0.737708703449728
"830","ENSP00000411821","ENSP00000389009","9606.ENSP00000389009","9606.ENSP00000411821",905,"CARNS1","57571","ALDH3A1","218",0.269,0,-0.0721579037896034,0.0817474410601822
"832","ENSP00000219070","ENSP00000428340","9606.ENSP00000428340","9606.ENSP00000219070",952,"ANGPT1","284","MMP2","4313",0.272,0,0.424118847903855,0.394838669187082
"833","ENSP00000285873","ENSP00000264883","9606.ENSP00000264883","9606.ENSP00000285873",904,"NUP54","53371","GEMIN5","25929",0.184,0,0.355113157108856,0.107486832901565
"834","ENSP00000353362","ENSP00000300105","9606.ENSP00000300105","9606.ENSP00000353362",901,"CACNG2","10369","CACNA1A","773",0.274,0,0.0778423048066115,0.0803887512685133
"835","ENSP00000463013","ENSP00000310129","9606.ENSP00000310129","9606.ENSP00000463013",902,"PSMD2","5708","OAZ2","4947",0.393,0,-0.0569652956400578,0.0752232596970397
"838","ENSP00000346027","ENSP00000435777","9606.ENSP00000435777","9606.ENSP00000346027",999,"RPS13","6207","RPL21","6144",0.714,1,0.537395955213137,0.779611903178977
"845","ENSP00000355645","ENSP00000340944","9606.ENSP00000340944","9606.ENSP00000355645",903,"PTPN11","5781","ACTA1","58",0.239,0,-0.103847327953539,0.0750270919740313
"851","ENSP00000296102","ENSP00000484903","9606.ENSP00000484903","9606.ENSP00000296102",960,"MRPL45","84311","MRPL33","9553",1,1,0.468079799790326,0.470069647276394
"852","ENSP00000262039","ENSP00000254101","9606.ENSP00000254101","9606.ENSP00000262039",923,"PRKAB2","5565","PIK3C3","5289",0.291,0,0.0453908801700922,0.152764961654478
"855","ENSP00000254719","ENSP00000480186","9606.ENSP00000480186","9606.ENSP00000254719",981,"POLD2","5425","RPA1","6117",0.619,1,-0.0376584952137483,0.549244400660144
"857","ENSP00000263967","ENSP00000263341","9606.ENSP00000263341","9606.ENSP00000263967",919,"IL1B","3553","PIK3CA","5290",0.353,0,0.241794439470562,0.155145641644569
"864","ENSP00000403077","ENSP00000299300","9606.ENSP00000299300","9606.ENSP00000403077",940,"CCT2","10576","VKORC1L1","154807",0.12,0,-0.0704127743067008,0.22705414767532
"868","ENSP00000477437","ENSP00000334448","9606.ENSP00000334448","9606.ENSP00000477437",918,"GNG2","54331","KCNJ6","3763",0.14,0,0.0451833059676175,0.131977048175131
"880","ENSP00000293303","ENSP00000264414","9606.ENSP00000264414","9606.ENSP00000293303",992,"CUL3","8452","KLHL10","317719",1,1,-0.0259278251499944,0.641439551662622
"881","ENSP00000359910","ENSP00000360493","9606.ENSP00000360493","9606.ENSP00000359910",907,"RUNX2","860","PSMA7","5688",0.135,0,-0.18454226714065,0.0802365350453027
"885","ENSP00000366246","ENSP00000359581","9606.ENSP00000359581","9606.ENSP00000366246",947,"HS2ST1","9653","GPC6","10082",0.062,0,0.0907019371983179,0.297392687218881
"887","ENSP00000423602","ENSP00000482457","9606.ENSP00000482457","9606.ENSP00000423602",953,"PLCG2","5336","DAPP1","27071",0.348,0,0.0938997171876704,0.342356758268837
"893","ENSP00000264039","ENSP00000303634","9606.ENSP00000303634","9606.ENSP00000264039",906,"LRP8","7804","GPC1","2817",0.332,0,0.20818664622643,0.103015883243038
"899","ENSP00000361021","ENSP00000219789","9606.ENSP00000219789","9606.ENSP00000361021",913,"CDIPT","10423","PTEN","5728",1,1,-0.140807394660838,0.0997233696700552
"900","ENSP00000361540","ENSP00000360540","9606.ENSP00000360540","9606.ENSP00000361540",953,"CEP55","55165","CDC20","991",0.164,0,0.880289590090519,0.491508086194868
"901","ENSP00000355645","ENSP00000353864","9606.ENSP00000353864","9606.ENSP00000355645",919,"PAK3","5063","ACTA1","58",0.185,0,0.0190652364922618,0.1335332140299
"906","ENSP00000258418","ENSP00000348278","9606.ENSP00000348278","9606.ENSP00000258418",964,"STK39","27347","CAB39","51719",0.715,1,0.132396845368224,0.438378286169192
"908","ENSP00000355689","ENSP00000286648","9606.ENSP00000286648","9606.ENSP00000355689",926,"DCK","1633","GUK1","2987",0.608,1,-0.391944953923333,0.124006648007998
"910","ENSP00000264995","ENSP00000253099","9606.ENSP00000253099","9606.ENSP00000264995",999,"MRPL4","51073","MRPL3","11222",1,1,-0.164616272711378,0.670614934254921
"912","ENSP00000241453","ENSP00000228872","9606.ENSP00000228872","9606.ENSP00000241453",929,"CDKN1B","1027","FLT3","2322",0.357,0,0.131512005622794,0.191408058428701
"915","ENSP00000355896","ENSP00000364133","9606.ENSP00000364133","9606.ENSP00000355896",996,"TGFBR1","7046","TGFB2","7042",0.68,1,0.242032075665594,0.716824513311649
"917","ENSP00000297107","ENSP00000381008","9606.ENSP00000381008","9606.ENSP00000297107",941,"MUC16","94025","GALNT10","55568",0.135,0,0.167099835414626,0.268147170660896
"925","ENSP00000264538","ENSP00000390436","9606.ENSP00000390436","9606.ENSP00000264538",926,"GLI2","2736","IFT57","55081",0.102,0,0.417243893810626,0.211110650247698
"935","ENSP00000351777","ENSP00000478877","9606.ENSP00000478877","9606.ENSP00000351777",933,"ADRM1","11047","VCP","7415",0.287,0,0.284817160725098,0.234339819160543
"941","ENSP00000395772","ENSP00000221801","9606.ENSP00000221801","9606.ENSP00000395772",977,"FBL","2091","GNL3","26354",0.222,0,0.321490763199092,0.585153661673388
"943","ENSP00000339795","ENSP00000310572","9606.ENSP00000310572","9606.ENSP00000339795",909,"PSMC5","5705","RPL7","6129",0.275,0,0.194862314008101,0.111805413775954
"951","ENSP00000272317","ENSP00000329967","9606.ENSP00000329967","9606.ENSP00000272317",951,"TBK1","29110","RPS27A","6233",0.186,0,-0.51740321172032,0.231118717896356
"952","ENSP00000326806","ENSP00000463058","9606.ENSP00000463058","9606.ENSP00000326806",997,"RBM8A","9939","NCBP2","22916",0.705,1,0.314408541249517,0.734931638247715
"962","ENSP00000267935","ENSP00000370984","9606.ENSP00000370984","9606.ENSP00000267935",970,"COMMD8","54951","COMMD4","54939",1,1,-0.0615206259095198,0.451174116830562
"963","ENSP00000345393","ENSP00000327431","9606.ENSP00000327431","9606.ENSP00000345393",903,"HBG1","3047","MAFF","23764",0.086,0,0.105201975948445,0.0872721149284693
"966","ENSP00000302728","ENSP00000266031","9606.ENSP00000266031","9606.ENSP00000302728",933,"HYAL1","3373","GUSB","2990",1,1,0.281777346605261,0.233910883294255
"969","ENSP00000425561","ENSP00000456405","9606.ENSP00000456405","9606.ENSP00000425561",973,"MLST8","64223","EIF4E","1977",0.198,0,-0.148209461319002,0.459604001238104
"971","ENSP00000415430","ENSP00000361298","9606.ENSP00000361298","9606.ENSP00000415430",924,"KIF2C","11004","GTSE1","51512",0.687,1,0.904717790682534,0.26839662874024
"972","ENSP00000359098","ENSP00000309565","9606.ENSP00000309565","9606.ENSP00000359098",953,"UQCRH","7388","COX7A2","1347",0.711,1,0.6220481922923,0.440978868327513
"974","ENSP00000249071","ENSP00000367851","9606.ENSP00000367851","9606.ENSP00000249071",998,"CYBB","1536","RAC2","5880",0.288,0,0.805656710937022,0.808522828431215
"975","ENSP00000371532","ENSP00000477707","9606.ENSP00000477707","9606.ENSP00000371532",923,"NR1H3","10062","VLDLR","7436",0.26,0,-0.373036987481331,0.114827303622128
"977","ENSP00000317376","ENSP00000368793","9606.ENSP00000368793","9606.ENSP00000317376",906,"MTRF1","9617","MRPS11","64963",0.835,1,-0.147792735180201,0.0798572698196129
"979","ENSP00000335153","ENSP00000225577","9606.ENSP00000225577","9606.ENSP00000335153",976,"RPS6KB1","6198","HSP90AA1","3320",0.284,0,-0.00461385179944053,0.513315119896808
"980","ENSP00000364805","ENSP00000444029","9606.ENSP00000444029","9606.ENSP00000364805",914,"NUP153","9972","HSPA1L","3305",0.214,0,0.331203805353241,0.142486496029642
