"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label"
"1362","ENSP00000287490","ENSP00000425759","9606.ENSP00000425759","9606.ENSP00000287490",971,"COX7C","1350","COX6A2","1339",0.945,1
"1363","ENSP00000267845","ENSP00000280097","9606.ENSP00000280097","9606.ENSP00000267845",980,"HNMT","3176","HDC","3067",0.613,1
"1364","ENSP00000267430","ENSP00000355185","9606.ENSP00000355185","9606.ENSP00000267430",904,"DCLRE1A","9937","FANCM","57697",0.624,1
"1365","ENSP00000382428","ENSP00000316377","9606.ENSP00000316377","9606.ENSP00000382428",999,"DLGAP1","9229","DLG4","1742",0.289,0
"1366","ENSP00000327824","ENSP00000409000","9606.ENSP00000409000","9606.ENSP00000327824",998,"IFNL3","282617","IFNLR1","163702",0.714,1
"1367","ENSP00000216911","ENSP00000333982","9606.ENSP00000333982","9606.ENSP00000216911",957,"NDEL1","81565","AURKA","6790",0.279,0
"1368","ENSP00000258317","ENSP00000377303","9606.ENSP00000377303","9606.ENSP00000258317",959,"RENBP","5973","NPL","80896",1,1
"1369","ENSP00000384906","ENSP00000226574","9606.ENSP00000226574","9606.ENSP00000384906",912,"NFKB1","4790","SAA1","6288",0.306,0
"1370","ENSP00000358723","ENSP00000384192","9606.ENSP00000384192","9606.ENSP00000358723",911,"RASGRP3","25780","RAP1A","5906",0.334,0
"1371","ENSP00000401946","ENSP00000483903","9606.ENSP00000483903","9606.ENSP00000401946",902,"H2BC15","8341","TNRC6B","23112",0.077,0
"1372","ENSP00000327417","ENSP00000335074","9606.ENSP00000335074","9606.ENSP00000327417",989,"GHRL","51738","GPR39","2863",1,1
"1373","ENSP00000374455","ENSP00000272317","9606.ENSP00000272317","9606.ENSP00000374455",961,"RPS27A","6233","SQSTM1","8878",0.242,0
"1374","ENSP00000263056","ENSP00000381070","9606.ENSP00000381070","9606.ENSP00000263056",936,"MAP2K7","5609","MAP3K8","1326",0.388,0
"1375","ENSP00000290208","ENSP00000377486","9606.ENSP00000377486","9606.ENSP00000290208",983,"MRPL19","9801","MRPL10","124995",1,1
"1376","ENSP00000260731","ENSP00000300738","9606.ENSP00000300738","9606.ENSP00000260731",941,"RRM1","6240","KIF11","3832",0.214,0
"1377","ENSP00000404122","ENSP00000382717","9606.ENSP00000382717","9606.ENSP00000404122",924,"WDR19","57728","IFT74","80173",0.744,1
"1378","ENSP00000443988","ENSP00000434024","9606.ENSP00000434024","9606.ENSP00000443988",903,"H2AX","3014","SUDS3","64426",0.29,0
