"","protein2_clean","protein1_clean","protein1","protein2","combined_score","gene1","entrez1","gene2","entrez2","go_similarity","label"
"290","ENSP00000376611","ENSP00000409666","9606.ENSP00000409666","9606.ENSP00000376611",968,"SUMO3","6612","TDG","6996",0.148,0
"291","ENSP00000357069","ENSP00000322181","9606.ENSP00000322181","9606.ENSP00000357069",940,"DPM2","8818","PIGM","93183",1,1
"292","ENSP00000358997","ENSP00000259206","9606.ENSP00000259206","9606.ENSP00000358997",926,"IL1RN","3557","IRAK1","3654",0.341,0
"293","ENSP00000382250","ENSP00000393241","9606.ENSP00000393241","9606.ENSP00000382250",983,"RPS18","6222","MRPS6","64968",0.968,1
"294","ENSP00000266718","ENSP00000360882","9606.ENSP00000360882","9606.ENSP00000266718",923,"COL5A1","1289","LUM","4060",0.305,0
"295","ENSP00000357256","ENSP00000484532","9606.ENSP00000484532","9606.ENSP00000357256",994,"MIS12","79003","PMF1","11243",0.654,1
"296","ENSP00000334061","ENSP00000272317","9606.ENSP00000272317","9606.ENSP00000334061",932,"RPS27A","6233","HDAC6","10013",0.23,0
"297","ENSP00000379616","ENSP00000325239","9606.ENSP00000325239","9606.ENSP00000379616",931,"MYL11","29895","MYH11","4629",0.382,0
"298","ENSP00000261205","ENSP00000278919","9606.ENSP00000278919","9606.ENSP00000261205",972,"FEZ1","9638","SYT1","6857",0.195,0
"299","ENSP00000242057","ENSP00000335153","9606.ENSP00000335153","9606.ENSP00000242057",999,"HSP90AA1","3320","AHR","196",0.334,0
"300","ENSP00000361930","ENSP00000311344","9606.ENSP00000311344","9606.ENSP00000361930",911,"PPP2R1B","5519","YWHAB","7529",0.249,0
"301","ENSP00000306548","ENSP00000363676","9606.ENSP00000363676","9606.ENSP00000306548",919,"RPL11","6135","MRPL13","28998",0.377,0
"302","ENSP00000257555","ENSP00000365682","9606.ENSP00000365682","9606.ENSP00000257555",919,"TLE1","7088","HNF1A","6927",0.318,0
"303","ENSP00000430494","ENSP00000281031","9606.ENSP00000281031","9606.ENSP00000430494",981,"NDUFC2","4718","UQCRB","7381",0.707,1
"304","ENSP00000216252","ENSP00000412566","9606.ENSP00000412566","9606.ENSP00000216252",995,"SNRPB","6628","PHF5A","84844",0.723,1
"305","ENSP00000262138","ENSP00000337168","9606.ENSP00000337168","9606.ENSP00000262138",907,"EPB41L1","2036","CACNG4","27092",0.15,0
"306","ENSP00000314897","ENSP00000293328","9606.ENSP00000293328","9606.ENSP00000314897",905,"STAT5B","6777","ANGPT2","285",0.346,0
"307","ENSP00000359910","ENSP00000427562","9606.ENSP00000427562","9606.ENSP00000359910",957,"ABL2","27","PSMA7","5688",0.37,0
"308","ENSP00000328004","ENSP00000336687","9606.ENSP00000336687","9606.ENSP00000328004",902,"CBX3","11335","YAF2","10138",0.624,1
"309","ENSP00000428426","ENSP00000470252","9606.ENSP00000470252","9606.ENSP00000428426",991,"SUPT5H","6829","TCEA1","6917",0.76,1
"310","ENSP00000347583","ENSP00000378529","9606.ENSP00000378529","9606.ENSP00000347583",908,"FZR1","51343","MFSD12","126321",0.13,0
"311","ENSP00000318297","ENSP00000362166","9606.ENSP00000362166","9606.ENSP00000318297",975,"MEAF6","64769","RUVBL1","8607",0.721,1
"312","ENSP00000310661","ENSP00000286621","9606.ENSP00000286621","9606.ENSP00000310661",911,"ADK","132","PDE7B","27115",0.086,0
"313","ENSP00000335620","ENSP00000420168","9606.ENSP00000420168","9606.ENSP00000335620",963,"GSTA2","2939","GSTA1","2938",0.768,1
"314","ENSP00000412566","ENSP00000274712","9606.ENSP00000274712","9606.ENSP00000412566",996,"ZMAT2","153527","SNRPB","6628",1,1
"315","ENSP00000358312","ENSP00000331106","9606.ENSP00000331106","9606.ENSP00000358312",961,"PEX26","55670","PEX11B","8799",0.216,0
"316","ENSP00000246792","ENSP00000337825","9606.ENSP00000337825","9606.ENSP00000246792",918,"LCK","3932","RRAS","6237",0.343,0
"317","ENSP00000414350","ENSP00000423313","9606.ENSP00000423313","9606.ENSP00000414350",910,"GALNTL6","442117","MUC20","200958",0.043,0
"318","ENSP00000256996","ENSP00000285021","9606.ENSP00000285021","9606.ENSP00000256996",989,"XPC","7508","DDB2","1643",0.663,1
"319","ENSP00000352928","ENSP00000297579","9606.ENSP00000297579","9606.ENSP00000352928",903,"DCAF13","25879","DDA1","79016",0.229,0
"320","ENSP00000324020","ENSP00000363524","9606.ENSP00000363524","9606.ENSP00000324020",948,"KIF4A","24137","KIF15","56992",0.607,1
"321","ENSP00000274242","ENSP00000379888","9606.ENSP00000379888","9606.ENSP00000274242",999,"RPS8","6202","RPL37","6167",0.623,1
"322","ENSP00000367029","ENSP00000403852","9606.ENSP00000403852","9606.ENSP00000367029",992,"POLR2F","5435","POLR1E","64425",0.833,1
"323","ENSP00000339795","ENSP00000472469","9606.ENSP00000472469","9606.ENSP00000339795",999,"RPS28","6234","RPL7","6129",0.878,1
"324","ENSP00000216237","ENSP00000351490","9606.ENSP00000351490","9606.ENSP00000216237",910,"MAX","4149","L3MBTL2","83746",0.931,1
"325","ENSP00000443017","ENSP00000352252","9606.ENSP00000352252","9606.ENSP00000443017",995,"H3C12","8356","H4C16","121504",0.63,1
"326","ENSP00000311032","ENSP00000341189","9606.ENSP00000341189","9606.ENSP00000311032",953,"PTK2","5747","CASP3","836",0.362,0
"327","ENSP00000290208","ENSP00000354580","9606.ENSP00000354580","9606.ENSP00000290208",983,"MRPL21","219927","MRPL10","124995",1,1
"328","ENSP00000240185","ENSP00000400591","9606.ENSP00000400591","9606.ENSP00000240185",937,"SNRPE","6635","TARDBP","23435",0.314,0
"329","ENSP00000261195","ENSP00000441543","9606.ENSP00000441543","9606.ENSP00000261195",908,"UBC","7316","GYS2","2998",0.122,0
"330","ENSP00000348056","ENSP00000384109","9606.ENSP00000384109","9606.ENSP00000348056",949,"CUL4B","8450","UBE2I","7329",0.355,0
"331","ENSP00000272317","ENSP00000221452","9606.ENSP00000221452","9606.ENSP00000272317",909,"RELB","5971","RPS27A","6233",0.163,0
"332","ENSP00000357679","ENSP00000451080","9606.ENSP00000451080","9606.ENSP00000357679",976,"ERH","2079","CHTOP","26097",0.088,0
"333","ENSP00000256442","ENSP00000403293","9606.ENSP00000403293","9606.ENSP00000256442",914,"FBXO43","286151","CCNB1","891",0.379,0
"334","ENSP00000367939","ENSP00000229379","9606.ENSP00000229379","9606.ENSP00000367939",991,"COX6A1","1337","UQCRQ","27089",0.848,1
"335","ENSP00000228825","ENSP00000355645","9606.ENSP00000355645","9606.ENSP00000228825",963,"ACTA1","58","ARPC3","10094",0.145,0
"336","ENSP00000309749","ENSP00000262306","9606.ENSP00000262306","9606.ENSP00000309749",912,"ELOB","6923","APOBEC3F","200316",0.149,0
"337","ENSP00000311399","ENSP00000267935","9606.ENSP00000267935","9606.ENSP00000311399",919,"COMMD4","54939","VPS26C","10311",0.16,0
"338","ENSP00000352904","ENSP00000389948","9606.ENSP00000389948","9606.ENSP00000352904",930,"NT5C3B","115024","NT5C1B","93034",0.374,0
"339","ENSP00000256442","ENSP00000352400","9606.ENSP00000352400","9606.ENSP00000256442",911,"NUP214","8021","CCNB1","891",0.139,0
"340","ENSP00000285814","ENSP00000363676","9606.ENSP00000363676","9606.ENSP00000285814",921,"RPL11","6135","NIFK","84365",0.287,0
"341","ENSP00000299166","ENSP00000356972","9606.ENSP00000356972","9606.ENSP00000299166",999,"NDUFS2","4720","NDUFB8","4714",0.724,1
"342","ENSP00000265245","ENSP00000464342","9606.ENSP00000464342","9606.ENSP00000265245",924,"RPL36","25873","LSG1","55341",0.043,0
"343","ENSP00000303398","ENSP00000258149","9606.ENSP00000258149","9606.ENSP00000303398",988,"MDM2","4193","MTBP","27085",0.149,0
"344","ENSP00000426909","ENSP00000388107","9606.ENSP00000388107","9606.ENSP00000426909",999,"UBA52","7311","RACK1","10399",0.291,0
"345","ENSP00000363827","ENSP00000230053","9606.ENSP00000230053","9606.ENSP00000363827",905,"B3GAT2","135152","HSPG2","3339",0.214,0
"346","ENSP00000341805","ENSP00000262188","9606.ENSP00000262188","9606.ENSP00000341805",956,"SMARCD3","6604","PHF10","55274",0.891,1
"347","ENSP00000355778","ENSP00000333277","9606.ENSP00000333277","9606.ENSP00000355778",902,"H3C13","653604","H3-3A","3020",0.738,1
"348","ENSP00000221801","ENSP00000251453","9606.ENSP00000251453","9606.ENSP00000221801",996,"RPS16","6217","FBL","2091",0.615,1
"349","ENSP00000464813","ENSP00000376056","9606.ENSP00000376056","9606.ENSP00000464813",996,"EEF1B2","1933","RPL27","6155",0.954,1
"350","ENSP00000351926","ENSP00000451300","9606.ENSP00000451300","9606.ENSP00000351926",966,"NUMB","8650","AP2A1","160",0.148,0
"351","ENSP00000378578","ENSP00000362361","9606.ENSP00000362361","9606.ENSP00000378578",992,"CDK9","1025","AFF1","4299",0.388,0
"352","ENSP00000409581","ENSP00000310305","9606.ENSP00000310305","9606.ENSP00000409581",987,"P2RY2","5029","ARRB1","408",0.203,0
"353","ENSP00000417142","ENSP00000419087","9606.ENSP00000419087","9606.ENSP00000417142",997,"NDUFB2","4708","NDUFA5","4698",0.966,1
"354","ENSP00000397441","ENSP00000258654","9606.ENSP00000258654","9606.ENSP00000397441",999,"COG3","83548","COG6","57511",0.76,1
"355","ENSP00000263228","ENSP00000338413","9606.ENSP00000338413","9606.ENSP00000263228",995,"UBA1","7317","UBE2R2","54926",0.789,1
"356","ENSP00000223061","ENSP00000363840","9606.ENSP00000363840","9606.ENSP00000223061",921,"COL11A2","1302","PCOLCE","5118",0.089,0
"357","ENSP00000306330","ENSP00000264606","9606.ENSP00000264606","9606.ENSP00000306330",957,"HDAC4","9759","YWHAG","7532",0.266,0
"358","ENSP00000256383","ENSP00000317334","9606.ENSP00000317334","9606.ENSP00000256383",914,"TCP1","6950","EIF2S1","1965",0.219,0
"359","ENSP00000315477","ENSP00000225698","9606.ENSP00000225698","9606.ENSP00000315477",964,"C1QBP","708","CD209","30835",0.3,0
"360","ENSP00000370719","ENSP00000360076","9606.ENSP00000360076","9606.ENSP00000370719",911,"SGIP1","84251","ITSN1","6453",0.183,0
"361","ENSP00000274242","ENSP00000323856","9606.ENSP00000323856","9606.ENSP00000274242",926,"PLEC","5339","RPL37","6167",0.078,0
"362","ENSP00000433001","ENSP00000380876","9606.ENSP00000380876","9606.ENSP00000433001",915,"RGS11","8786","RGS5","8490",1,1
"363","ENSP00000259407","ENSP00000431049","9606.ENSP00000431049","9606.ENSP00000259407",911,"GSTK1","373156","BAAT","570",0.311,0
"364","ENSP00000236959","ENSP00000318868","9606.ENSP00000318868","9606.ENSP00000236959",996,"SHMT1","6470","ATIC","471",0.384,0
"365","ENSP00000303147","ENSP00000264709","9606.ENSP00000264709","9606.ENSP00000303147",926,"DNMT3A","1788","MAT2A","4144",0.154,0
"366","ENSP00000347168","ENSP00000216297","9606.ENSP00000216297","9606.ENSP00000347168",934,"SUPT16H","11198","H4C11","8363",0.365,0
"367","ENSP00000341189","ENSP00000378338","9606.ENSP00000378338","9606.ENSP00000341189",929,"GIT1","28964","PTK2","5747",0.317,0
"368","ENSP00000432279","ENSP00000324810","9606.ENSP00000324810","9606.ENSP00000432279",944,"MVB12A","93343","CHMP1B","57132",0.617,1
"369","ENSP00000227524","ENSP00000341826","9606.ENSP00000341826","9606.ENSP00000227524",921,"HNRNPA1","3178","PRPF19","27339",0.384,0
"370","ENSP00000332887","ENSP00000417142","9606.ENSP00000417142","9606.ENSP00000332887",990,"NDUFA5","4698","UQCR10","29796",0.638,1
"371","ENSP00000363832","ENSP00000306606","9606.ENSP00000306606","9606.ENSP00000363832",939,"ADH1B","125","AOX1","316",0.27,0
"372","ENSP00000264183","ENSP00000350333","9606.ENSP00000350333","9606.ENSP00000264183",957,"SAP130","79595","ARID4B","51742",0.983,1
"373","ENSP00000263881","ENSP00000247668","9606.ENSP00000247668","9606.ENSP00000263881",911,"TRAF2","7186","MAP4K3","8491",0.396,0
"374","ENSP00000358997","ENSP00000370034","9606.ENSP00000370034","9606.ENSP00000358997",977,"TLR7","51284","IRAK1","3654",0.684,1
"375","ENSP00000252622","ENSP00000301740","9606.ENSP00000301740","9606.ENSP00000252622",919,"SRRM2","23524","LSM7","51690",1,1
"376","ENSP00000347379","ENSP00000238682","9606.ENSP00000238682","9606.ENSP00000347379",936,"TGFB3","7043","OCLN","100506658",0.292,0
"377","ENSP00000361540","ENSP00000365210","9606.ENSP00000365210","9606.ENSP00000361540",966,"CCNB3","85417","CDC20","991",0.299,0
"378","ENSP00000457513","ENSP00000317159","9606.ENSP00000317159","9606.ENSP00000457513",994,"CYC1","1537","COX4I1","1327",0.848,1
"379","ENSP00000436047","ENSP00000256646","9606.ENSP00000256646","9606.ENSP00000436047",902,"NOTCH2","4853","ST3GAL4","6484",0.17,0
"380","ENSP00000307889","ENSP00000379888","9606.ENSP00000379888","9606.ENSP00000307889",999,"RPS8","6202","RPL13","6137",0.62,1
"381","ENSP00000360608","ENSP00000293190","9606.ENSP00000293190","9606.ENSP00000360608",967,"GRIN2C","2905","GRIN1","2902",0.762,1
"382","ENSP00000370639","ENSP00000308032","9606.ENSP00000308032","9606.ENSP00000370639",908,"CYP2S1","29785","ASMT","438",0.269,0
"383","ENSP00000053468","ENSP00000354580","9606.ENSP00000354580","9606.ENSP00000053468",988,"MRPL21","219927","MRPS10","55173",1,1
"384","ENSP00000344352","ENSP00000258149","9606.ENSP00000258149","9606.ENSP00000344352",952,"MDM2","4193","ATF3","467",0.313,0
"385","ENSP00000480558","ENSP00000263339","9606.ENSP00000263339","9606.ENSP00000480558",933,"IL1A","3552","CCL3L3","6349",0.369,0
"386","ENSP00000354633","ENSP00000367406","9606.ENSP00000367406","9606.ENSP00000354633",999,"TAF2","6873","TAF11","6882",0.779,1
"387","ENSP00000477907","ENSP00000446880","9606.ENSP00000446880","9606.ENSP00000477907",914,"BAZ2A","11176","H2BC14","8342",0.379,0
"388","ENSP00000384794","ENSP00000310696","9606.ENSP00000310696","9606.ENSP00000384794",921,"B4GALT2","8704","A4GALT","53947",0.121,0
"389","ENSP00000274376","ENSP00000378974","9606.ENSP00000378974","9606.ENSP00000274376",915,"MAPK8","5599","RASA1","5921",0.38,0
"390","ENSP00000365745","ENSP00000329002","9606.ENSP00000329002","9606.ENSP00000365745",953,"HAX1","10456","CTTN","2017",0.366,0
"391","ENSP00000471896","ENSP00000360869","9606.ENSP00000360869","9606.ENSP00000471896",973,"IFIT1","3434","IRF3","3661",0.337,0
"392","ENSP00000379412","ENSP00000481842","9606.ENSP00000481842","9606.ENSP00000379412",902,"SAP18","10284","ZNFX1","57169",0.31,0
"393","ENSP00000321334","ENSP00000466775","9606.ENSP00000466775","9606.ENSP00000321334",934,"APOC2","344","LPA","4018",0.167,0
"394","ENSP00000314080","ENSP00000320485","9606.ENSP00000320485","9606.ENSP00000314080",926,"ARID1A","8289","HIC1","3090",0.381,0
"395","ENSP00000374409","ENSP00000426632","9606.ENSP00000426632","9606.ENSP00000374409",992,"ERBIN","55914","PKP4","8502",0.349,0
"396","ENSP00000226730","ENSP00000409346","9606.ENSP00000409346","9606.ENSP00000226730",948,"CISH","1154","IL2","3558",0.367,0
"397","ENSP00000419087","ENSP00000315774","9606.ENSP00000315774","9606.ENSP00000419087",993,"NDUFS8","4728","NDUFB2","4708",1,1
"398","ENSP00000344393","ENSP00000291576","9606.ENSP00000291576","9606.ENSP00000344393",972,"PWP2","5822","FCF1","51077",1,1
"399","ENSP00000256785","ENSP00000245907","9606.ENSP00000245907","9606.ENSP00000256785",994,"C3","718","CFHR5","81494",0.239,0
"400","ENSP00000250559","ENSP00000360683","9606.ENSP00000360683","9606.ENSP00000250559",909,"PTPN1","5770","RAP1B","5908",0.288,0
"401","ENSP00000430985","ENSP00000347672","9606.ENSP00000347672","9606.ENSP00000430985",924,"VANGL1","81839","ANKRD6","22881",0.338,0
"402","ENSP00000289361","ENSP00000348751","9606.ENSP00000348751","9606.ENSP00000289361",967,"BTN3A2","11118","BTN3A1","11119",0.787,1
"403","ENSP00000209873","ENSP00000245934","9606.ENSP00000245934","9606.ENSP00000209873",904,"SYMPK","8189","AAAS","8086",0.065,0
"404","ENSP00000365312","ENSP00000295685","9606.ENSP00000295685","9606.ENSP00000365312",969,"ARPC2","10109","ABI1","10006",0.29,0
"405","ENSP00000382004","ENSP00000285379","9606.ENSP00000285379","9606.ENSP00000382004",901,"CA2","760","CTNND1","1500",0.192,0
"406","ENSP00000269848","ENSP00000370517","9606.ENSP00000370517","9606.ENSP00000269848",958,"PFKP","5214","PFKL","5211",0.85,1
"407","ENSP00000419004","ENSP00000221801","9606.ENSP00000221801","9606.ENSP00000419004",924,"FBL","2091","NMD3","51068",0.201,0
"408","ENSP00000358327","ENSP00000263464","9606.ENSP00000263464","9606.ENSP00000358327",986,"BIRC3","330","CASP7","840",0.299,0
"409","ENSP00000279263","ENSP00000003100","9606.ENSP00000003100","9606.ENSP00000279263",995,"CYP51A1","1595","TM7SF2","7108",1,1
"410","ENSP00000269305","ENSP00000409666","9606.ENSP00000409666","9606.ENSP00000269305",919,"SUMO3","6612","TP53","7157",0.135,0
"411","ENSP00000275428","ENSP00000381340","9606.ENSP00000381340","9606.ENSP00000275428",925,"GGT5","2687","GGCT","79017",0.1,0
"412","ENSP00000376056","ENSP00000309830","9606.ENSP00000309830","9606.ENSP00000376056",930,"RPL38","6169","EEF1B2","1933",0.954,1
"413","ENSP00000389160","ENSP00000354687","9606.ENSP00000354687","9606.ENSP00000389160",997,"MT-ND1","4535","NDUFA11","126328",0.918,1
"414","ENSP00000343658","ENSP00000376505","9606.ENSP00000376505","9606.ENSP00000343658",901,"TANK","10010","MAP4K4","9448",0.389,0
"415","ENSP00000326550","ENSP00000379975","9606.ENSP00000379975","9606.ENSP00000326550",932,"ILK","3611","TACC3","10460",0.3,0
"416","ENSP00000349508","ENSP00000479461","9606.ENSP00000479461","9606.ENSP00000349508",922,"H4C4","8360","CHD4","1108",0.352,0
"417","ENSP00000405338","ENSP00000317272","9606.ENSP00000317272","9606.ENSP00000405338",952,"MET","4233","INPP5D","3635",0.387,0
"418","ENSP00000432083","ENSP00000377148","9606.ENSP00000377148","9606.ENSP00000432083",916,"AP1G1","164","HSPA8","3312",0.265,0
"419","ENSP00000358042","ENSP00000263985","9606.ENSP00000263985","9606.ENSP00000358042",999,"GATB","5188","QRSL1","55278",1,1
"420","ENSP00000484841","ENSP00000358151","9606.ENSP00000358151","9606.ENSP00000484841",937,"H2BC21","8349","H3C2","8358",0.308,0
"421","ENSP00000387006","ENSP00000365625","9606.ENSP00000365625","9606.ENSP00000387006",999,"DHX16","8449","CWC22","57703",0.686,1
"422","ENSP00000228027","ENSP00000329697","9606.ENSP00000329697","9606.ENSP00000228027",953,"PLPP2","8612","DGAT2","84649",0.288,0
"423","ENSP00000342262","ENSP00000444029","9606.ENSP00000444029","9606.ENSP00000342262",977,"NUP153","9972","NUP43","348995",1,1
"424","ENSP00000317334","ENSP00000246062","9606.ENSP00000246062","9606.ENSP00000317334",967,"MKKS","8195","TCP1","6950",0.207,0
"425","ENSP00000361892","ENSP00000332449","9606.ENSP00000332449","9606.ENSP00000361892",902,"CRIP1","1396","STK4","6789",0.311,0
"426","ENSP00000360296","ENSP00000354829","9606.ENSP00000354829","9606.ENSP00000360296",932,"SGMS1","259230","PLPP3","8613",0.324,0
"427","ENSP00000216037","ENSP00000354791","9606.ENSP00000354791","9606.ENSP00000216037",901,"DCTN1","1639","XBP1","7494",0.217,0
"428","ENSP00000342374","ENSP00000267812","9606.ENSP00000267812","9606.ENSP00000342374",999,"MFAP1","4236","SNRPD2","6633",1,1
"429","ENSP00000364855","ENSP00000359454","9606.ENSP00000359454","9606.ENSP00000364855",925,"HFM1","164045","MSH5","4439",0.743,1
"430","ENSP00000420176","ENSP00000480186","9606.ENSP00000480186","9606.ENSP00000420176",978,"POLD2","5425","POLE4","56655",1,1
"431","ENSP00000370589","ENSP00000234170","9606.ENSP00000234170","9606.ENSP00000370589",924,"CEBPZ","10153","NOP56","10528",0.212,0
"432","ENSP00000301244","ENSP00000222390","9606.ENSP00000222390","9606.ENSP00000301244",955,"HGF","3082","SPINT2","10653",0.211,0
"433","ENSP00000382972","ENSP00000300413","9606.ENSP00000300413","9606.ENSP00000382972",998,"SNRPD1","6632","SNRPN","6638",0.836,1
"434","ENSP00000322323","ENSP00000468308","9606.ENSP00000468308","9606.ENSP00000322323",972,"FAM20A","54757","FAM20C","56975",0.678,1
"435","ENSP00000298316","ENSP00000378338","9606.ENSP00000378338","9606.ENSP00000298316",986,"GIT1","28964","ARF6","382",0.335,0
"436","ENSP00000326238","ENSP00000478479","9606.ENSP00000478479","9606.ENSP00000326238",906,"RAB18","22931","CAPZA3","93661",0.251,0
"437","ENSP00000479106","ENSP00000352627","9606.ENSP00000352627","9606.ENSP00000479106",946,"H2AC17","8336","H4C1","8359",0.376,0
"438","ENSP00000261396","ENSP00000310219","9606.ENSP00000310219","9606.ENSP00000261396",903,"HSPA6","3310","NUP133","55746",0.128,0
"439","ENSP00000258383","ENSP00000333837","9606.ENSP00000333837","9606.ENSP00000258383",993,"MRPL12","6182","MRPL44","65080",0.777,1
"440","ENSP00000259727","ENSP00000335246","9606.ENSP00000335246","9606.ENSP00000259727",903,"ENTPD5","957","GMPR","2766",0.09,0
"441","ENSP00000264954","ENSP00000270538","9606.ENSP00000270538","9606.ENSP00000264954",999,"TIMM44","10469","GRPEL1","80273",0.962,1
"442","ENSP00000379438","ENSP00000300404","9606.ENSP00000300404","9606.ENSP00000379438",949,"B4GALNT2","124872","UMOD","7369",0.185,0
"443","ENSP00000355046","ENSP00000296684","9606.ENSP00000296684","9606.ENSP00000355046",993,"NDUFS4","4724","MT-ND2","4536",0.724,1
"444","ENSP00000472985","ENSP00000309830","9606.ENSP00000309830","9606.ENSP00000472985",999,"RPL38","6169","RPS5","6193",0.765,1
"445","ENSP00000443017","ENSP00000351589","9606.ENSP00000351589","9606.ENSP00000443017",931,"H2AC13","8329","H4C16","121504",0.376,0
"446","ENSP00000344456","ENSP00000211998","9606.ENSP00000211998","9606.ENSP00000344456",999,"VCL","7414","CTNNB1","1499",0.366,0
"447","ENSP00000270162","ENSP00000340989","9606.ENSP00000340989","9606.ENSP00000270162",915,"SFN","2810","SIK1","150094",0.383,0
"448","ENSP00000401010","ENSP00000411418","9606.ENSP00000411418","9606.ENSP00000401010",902,"RAB3GAP1","22930","CAPZB","832",0.217,0
"449","ENSP00000232888","ENSP00000291576","9606.ENSP00000291576","9606.ENSP00000232888",998,"PWP2","5822","RRP9","9136",0.844,1
"450","ENSP00000388107","ENSP00000377640","9606.ENSP00000377640","9606.ENSP00000388107",999,"RPL24","6152","UBA52","7311",0.729,1
"451","ENSP00000247191","ENSP00000300035","9606.ENSP00000300035","9606.ENSP00000247191",945,"PCLAF","9768","DLGAP5","9787",0.374,0
"452","ENSP00000478303","ENSP00000342889","9606.ENSP00000342889","9606.ENSP00000478303",999,"POLR2K","5440","POLR2E","5434",0.75,1
"453","ENSP00000297508","ENSP00000252699","9606.ENSP00000252699","9606.ENSP00000297508",959,"ACTN4","81","MICALL2","79778",0.355,0
"454","ENSP00000362994","ENSP00000379612","9606.ENSP00000379612","9606.ENSP00000362994",947,"TAX1BP1","8887","TRAF1","7185",0.398,0
"455","ENSP00000266395","ENSP00000420295","9606.ENSP00000420295","9606.ENSP00000266395",956,"PDE6B","5158","PDE6H","5149",0.251,0
"456","ENSP00000321345","ENSP00000305416","9606.ENSP00000305416","9606.ENSP00000321345",915,"S1PR1","1901","IL23R","149233",0.294,0
"457","ENSP00000393097","ENSP00000274547","9606.ENSP00000274547","9606.ENSP00000393097",971,"GABRB2","2561","GABRA1","2554",0.831,1
"458","ENSP00000345001","ENSP00000264867","9606.ENSP00000264867","9606.ENSP00000345001",929,"PPARGC1A","10891","CRTC1","23373",0.345,0
"459","ENSP00000351908","ENSP00000284981","9606.ENSP00000284981","9606.ENSP00000351908",925,"APP","351","MAP3K5","4217",0.368,0
"460","ENSP00000472474","ENSP00000175506","9606.ENSP00000175506","9606.ENSP00000472474",904,"ASNS","440","IL4I1","259307",0.205,0
"461","ENSP00000263025","ENSP00000280357","9606.ENSP00000280357","9606.ENSP00000263025",941,"IL18","3606","MAPK3","5595",0.361,0
"462","ENSP00000366679","ENSP00000328269","9606.ENSP00000328269","9606.ENSP00000366679",916,"HMG20B","10362","H2AC12","85235",0.272,0
"463","ENSP00000222139","ENSP00000256951","9606.ENSP00000256951","9606.ENSP00000222139",941,"EMP1","2012","EPOR","2057",0.141,0
"464","ENSP00000236273","ENSP00000254193","9606.ENSP00000254193","9606.ENSP00000236273",998,"SNRPA1","6627","SYF2","25949",1,1
"465","ENSP00000258455","ENSP00000342676","9606.ENSP00000342676","9606.ENSP00000258455",972,"AURKAIP1","54998","MRPS9","64965",1,1
"466","ENSP00000339917","ENSP00000283875","9606.ENSP00000283875","9606.ENSP00000339917",902,"GTF2E1","2960","TAF9B","51616",0.272,0
"467","ENSP00000420161","ENSP00000387356","9606.ENSP00000387356","9606.ENSP00000420161",903,"ACAN","176","B4GALT4","8702",0.224,0
"468","ENSP00000289902","ENSP00000392812","9606.ENSP00000392812","9606.ENSP00000289902",918,"PIK3R5","23533","FCER1G","2207",0.365,0
"469","ENSP00000264613","ENSP00000216117","9606.ENSP00000216117","9606.ENSP00000264613",943,"HMOX1","3162","CP","1356",0.157,0
"470","ENSP00000267163","ENSP00000484261","9606.ENSP00000484261","9606.ENSP00000267163",902,"H2AB1","474382","RB1","5925",0.256,0
"471","ENSP00000346671","ENSP00000363318","9606.ENSP00000363318","9606.ENSP00000346671",914,"IL2RG","3561","FYN","2534",0.398,0
"472","ENSP00000380227","ENSP00000267082","9606.ENSP00000267082","9606.ENSP00000380227",999,"ITGB7","3695","ITGA4","3676",0.785,1
"473","ENSP00000417273","ENSP00000228825","9606.ENSP00000228825","9606.ENSP00000417273",932,"ARPC3","10094","NCK1","4690",0.234,0
"474","ENSP00000372351","ENSP00000480960","9606.ENSP00000480960","9606.ENSP00000372351",905,"H4C13","8368","NSD2","7468",0.064,0
"475","ENSP00000296575","ENSP00000295731","9606.ENSP00000295731","9606.ENSP00000296575",989,"IHH","3549","HHIP","64399",0.343,0
"476","ENSP00000352522","ENSP00000243997","9606.ENSP00000243997","9606.ENSP00000352522",902,"ATP5F1E","514","ATP6V1H","51606",0.145,0
"477","ENSP00000356198","ENSP00000377303","9606.ENSP00000377303","9606.ENSP00000356198",902,"RENBP","5973","CHIT1","1118",0.255,0
"478","ENSP00000263774","ENSP00000458770","9606.ENSP00000458770","9606.ENSP00000263774",999,"NDUFAB1","4706","NDUFS3","4722",0.699,1
"479","ENSP00000423503","ENSP00000403760","9606.ENSP00000403760","9606.ENSP00000423503",902,"USP17L10","100287144","USP17L18","100287364",1,1
"480","ENSP00000255764","ENSP00000357047","9606.ENSP00000357047","9606.ENSP00000255764",990,"MED23","9439","MED10","84246",0.861,1
"481","ENSP00000362649","ENSP00000216714","9606.ENSP00000216714","9606.ENSP00000362649",917,"APEX1","328","HDAC1","3065",0.339,0
"482","ENSP00000390436","ENSP00000216455","9606.ENSP00000216455","9606.ENSP00000390436",902,"PSMA3","5684","GLI2","2736",0.069,0
"483","ENSP00000345195","ENSP00000473001","9606.ENSP00000473001","9606.ENSP00000345195",904,"FCHO1","23149","UBQLN2","29978",0.214,0
"484","ENSP00000258052","ENSP00000363397","9606.ENSP00000363397","9606.ENSP00000258052",966,"UGCG","7357","SMPD2","6610",0.248,0
"485","ENSP00000316032","ENSP00000258149","9606.ENSP00000258149","9606.ENSP00000316032",907,"MDM2","4193","NUP98","4928",0.209,0
